Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,45168D104,IDXX ,"1,131,866","766,160,095.40",0.390,IDEXX Laboratories Inc,Common Stock,Health Care,09/01/2021
QQQ,016255101,ALGN ,"1,050,305","754,875,209.60",0.384,Align Technology Inc,Common Stock,Health Care,09/01/2021
QQQ,22788C105,CRWD ,"2,643,024","713,537,189.28",0.363,Crowdstrike Holdings Inc,Common Stock,Information Technology,09/01/2021
QQQ,252131107,DXCM ,"1,283,358","699,327,441.36",0.356,Dexcom Inc,Common Stock,Health Care,09/01/2021
QQQ,278642103,EBAY ,"9,041,126","688,481,744.90",0.351,eBay Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,61174X109,MNST ,"7,014,652","686,032,965.60",0.349,Monster Beverage Corp,Common Stock,Consumer Staples,09/01/2021
QQQ,98138H101,WDAY ,"2,508,299","685,693,697.63",0.349,Workday Inc,Common Stock,Information Technology,09/01/2021
QQQ,482480100,KLAC ,"2,034,252","682,389,833.40",0.347,KLA Corp,Common Stock,Information Technology,09/01/2021
QQQ,92532F100,VRTX ,"3,435,347","677,244,307.58",0.345,Vertex Pharmaceuticals Inc,Common Stock,Health Care,09/01/2021
QQQ,09062X103,BIIB ,"1,997,958","675,789,313.92",0.344,Biogen Inc,Common Stock,Health Care,09/01/2021
QQQ,871607107,SNPS ,"2,024,853","675,551,706.39",0.344,Synopsys Inc,Common Stock,Information Technology,09/01/2021
QQQ,49271V100,KDP ,"18,810,295","672,279,943.30",0.342,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,09/01/2021
QQQ,G06242104,TEAM ,"1,795,417","667,356,498.90",0.340,Atlassian Corp PLC,Common Stock,Information Technology,09/01/2021
QQQ,573874104,MRVL ,"10,872,740","660,192,772.80",0.336,Marvell Technology Inc,Common Stock,Information Technology,09/01/2021
QQQ,550021109,LULU ,"1,660,645","656,834,916.85",0.334,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,30161N101,EXC ,"12,968,224","643,223,910.40",0.327,Exelon Corp,Common Stock,Utilities,09/01/2021
QQQ,127387108,CDNS ,"3,692,815","606,175,582.25",0.309,Cadence Design Systems Inc,Common Stock,Information Technology,09/01/2021
QQQ,025537101,AEP ,"6,632,287","600,221,973.50",0.306,American Electric Power Co Inc,Common Stock,Utilities,09/01/2021
QQQ,500754106,KHC ,"16,232,574","585,995,921.40",0.298,Kraft Heinz Co/The,Common Stock,Consumer Staples,09/01/2021
QQQ,571903202,MAR ,"4,321,547","582,674,182.01",0.297,Marriott International Inc/MD,Common Stock,Consumer Discretionary,09/01/2021
QQQ,931427108,WBA ,"11,471,463","576,899,874.27",0.294,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,09/01/2021
QQQ,056752108,BIDU ,"3,438,641","567,994,720.38",0.289,Baidu Inc ADR,American Depository Receipt,Communication Services,09/01/2021
QQQ,595017104,MCHP ,"3,630,010","564,865,856.10",0.288,Microchip Technology Inc,Common Stock,Information Technology,09/01/2021
QQQ,778296103,ROST ,"4,732,637","556,226,826.61",0.283,Ross Stores Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,285512109,EA ,"3,798,172","556,166,325.96",0.283,Electronic Arts Inc,Common Stock,Communication Services,09/01/2021
QQQ,172908105,CTAS ,"1,394,192","552,253,393.12",0.281,Cintas Corp,Common Stock,Industrials,09/01/2021
QQQ,67103H107,ORLY ,"925,897","548,631,008.38",0.279,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,704326107,PAYX ,"4,782,427","543,379,355.74",0.277,Paychex Inc,Common Stock,Information Technology,09/01/2021
